الكود,الاسم,الفئة,الوحدة,سعر الشراء,سعر الجملة,سعر التجزئة,أدنى مخزون,الكمية الأولية
SN001,لب سوري محمص 100 جم — كرتونة 50 كيس,تسالي,كرتونة,380,420,460,15,85
SN002,لب سوبر مملح 100 جم — كرتونة 50 كيس,تسالي,كرتونة,400,440,480,15,70
SN003,فول سوداني محمص 150 جم — كرتونة 40 كيس,تسالي,كرتونة,520,570,620,10,60
SN004,سوداني مغلف بالعسل 100 جم — كرتونة 48 كيس,تسالي,كرتونة,680,740,800,8,40
SN005,كاجو محمص 50 جم — كرتونة 24 كيس,مكسرات,كرتونة,1200,1320,1440,5,25
SN006,لوز محمص 50 جم — كرتونة 24 كيس,مكسرات,كرتونة,1100,1210,1320,5,20
SN007,مكسرات مشكلة 100 جم — كرتونة 30 كيس,مكسرات,كرتونة,1500,1650,1800,5,18
SN008,بذر قرع محمص 80 جم — كرتونة 50 كيس,تسالي,كرتونة,450,500,550,12,55
SN009,حمص الشام المحمص 100 جم — كرتونة 48 كيس,تسالي,كرتونة,360,400,440,12,65
SN010,ترمس جاهز 200 جم — كرتونة 24 كيس,تسالي,كرتونة,310,350,390,10,50
SN011,شيبسي بالجبنة 25 جم — كرتونة 60 كيس,شيبسي,كرتونة,230,260,290,20,120
SN012,شيبسي بالفلفل 25 جم — كرتونة 60 كيس,شيبسي,كرتونة,230,260,290,20,110
SN013,شيبسي كبير 70 جم — كرتونة 24 كيس,شيبسي,كرتونة,280,310,345,15,90
SN014,بفك بالكاتشب — كرتونة 48 كيس,سناكس,كرتونة,190,215,240,20,130
SN015,كيرلي فرايز — كرتونة 48 كيس,سناكس,كرتونة,200,225,250,18,100
SN016,كورن ستيكس بالجبنة — كرتونة 60 كيس,سناكس,كرتونة,175,200,225,18,140
SN017,شيكولاتة مولتن كيك 30 جم — شد 24 قطعة,شيكولاتة,شد,310,345,380,12,75
SN018,شيكولاتة ويفر بالبندق — شد 24 قطعة,شيكولاتة,شد,290,325,360,12,80
SN019,شيكولاتة سادة 50 جم — كرتونة 48 قطعة,شيكولاتة,كرتونة,580,640,700,8,45
SN020,شيكولاتة بالحليب 30 جم — شد 36 قطعة,شيكولاتة,شد,420,465,510,10,60
SN021,شيكولاتة كرات بالكراميل — كرتونة 36 قطعة,شيكولاتة,كرتونة,480,530,580,8,35
SN022,بسكويت محشو شيكولاتة — كرتونة 24 باكو,بسكويت,كرتونة,310,345,380,15,95
SN023,بسكويت محشو فانيليا — كرتونة 24 باكو,بسكويت,كرتونة,290,325,360,15,100
SN024,بسكويت سادة 80 جم — كرتونة 48 باكو,بسكويت,كرتونة,240,270,300,12,110
SN025,كيك بالشيكولاتة — كرتونة 24 قطعة,بسكويت,كرتونة,350,390,430,10,55
SN026,كرواسون بالشيكولاتة — كرتونة 36 قطعة,بسكويت,كرتونة,410,455,500,10,48
SN027,حلاوة طحينية 500 جم — كرتونة 12 علبة,حلاويات,كرتونة,690,760,830,8,38
SN028,حلاوة طحينية بالمكسرات 350 جم — كرتونة 12 علبة,حلاويات,كرتونة,780,860,940,6,28
SN029,ملبس بالسكر الملون — كرتونة 24 كيس,حلاويات,كرتونة,260,290,320,10,45
SN030,حلقوم تركي مشكل 200 جم — كرتونة 20 علبة,حلاويات,كرتونة,850,940,1030,5,22
SN031,بسبوسة جاهزة 300 جم — كرتونة 12 علبة,حلاويات,كرتونة,420,465,510,8,30
SN032,كنافة نابلسية مجمدة 500 جم — كرتونة 8 علب,حلاويات,كرتونة,640,710,780,5,20
SN033,لبان نعناع — شد 30 باكو,لبان,شد,155,175,195,20,150
SN034,لبان فواكه — شد 30 باكو,لبان,شد,155,175,195,20,140
SN035,بونبون فراولة — كرتونة 48 كيس,حلوى,كرتونة,210,235,260,15,90
SN036,تافي كراميل — كرتونة 48 كيس,حلوى,كرتونة,195,220,245,15,85
SN037,مصاصة فواكه — كرتونة 100 قطعة,حلوى,كرتونة,180,205,230,12,70
SN038,عصير مانجو 200 مل — كرتونة 24 عبوة,مشروبات,كرتونة,260,290,320,15,80
SN039,عصير برتقال 200 مل — كرتونة 24 عبوة,مشروبات,كرتونة,240,270,300,15,75
SN040,عصير جوافة 1 لتر — كرتونة 12 عبوة,مشروبات,كرتونة,490,540,590,10,42
SN041,مياه معدنية 600 مل — شد 12 زجاجة,مشروبات,شد,55,65,75,25,180
SN042,مشروب غازي كولا 330 مل — شد 24 عبوة,مشروبات,شد,320,360,400,12,65
SN043,وافل بالشيكولاتة — كرتونة 24 قطعة,وافل,كرتونة,330,370,410,10,50
SN044,كريب بالنوتيلا — كرتونة 20 قطعة,وافل,كرتونة,380,420,460,8,35
SN045,ياميش رمضان مشكل 500 جم — كرتونة 12 كيس,موسمي,كرتونة,1400,1540,1680,5,15
SN046,قمر الدين 400 جم — كرتونة 20 لفة,موسمي,كرتونة,560,620,680,8,25
SN047,تمر سكري فاخر 500 جم — كرتونة 12 علبة,موسمي,كرتونة,920,1010,1100,5,18
SN048,شيكولاتة فاخرة بالبندق 100 جم — كرتونة 24,شيكولاتة,كرتونة,960,1060,1160,8,5
SN049,بسكويت ديجستيف بالشيكولاتة — كرتونة 24 باكو,بسكويت,كرتونة,380,420,460,10,3
SN050,كاكاو خام 200 جم — كرتونة 24 علبة,شيكولاتة,كرتونة,720,795,870,6,0
