الاسم,الهاتف,العنوان,ملاحظات
سوبر ماركت النور — أحمد عبد العزيز,01012345601,شارع فيصل — الجيزة,عميل جملة — سداد أسبوعي
بقالة الإخلاص — محمد سعيد,01112345602,المرج — القاهرة,عميل جملة
ماركت السلام — خالد إبراهيم,01212345603,شبرا الخيمة — القليوبية,عميل جملة — يفضل التوصيل صباحاً
سوبر ماركت الهدى — مصطفى كامل,01512345604,المعادي — القاهرة,عميل تجزئة
بقالة أبو يوسف — يوسف الشحات,01012345605,إمبابة — الجيزة,عميل جملة — حد ائتمان 20000
ماركت الفتح — عمرو حسن,01112345606,حلوان — القاهرة,عميل جديد
سوبر ماركت الأمانة — طارق فؤاد,01212345607,مدينة نصر — القاهرة,عميل جملة كبير
بقالة الرحمة — سيد عبد الله,01512345608,بولاق الدكرور — الجيزة,سداد نقدي فقط
ماركت النيل — حسام الدين علي,01012345609,المنيب — الجيزة,عميل جملة
سوبر ماركت الصفا — وليد سمير,01112345610,عين شمس — القاهرة,عميل تجزئة
بقالة البركة — رمضان محمود,01212345611,المطرية — القاهرة,عميل جملة — أجل 30 يوم
ماركت المدينة — شريف عادل,01512345612,٦ أكتوبر — الجيزة,عميل جديد — تحت التقييم
سوبر ماركت الخير — هاني رشاد,01012345613,الزيتون — القاهرة,عميل جملة
بقالة عم صابر — صابر عبد الحميد,01112345614,الوراق — الجيزة,عميل قديم منذ 2018
ماركت الأسرة — كريم منصور,01212345615,الهرم — الجيزة,عميل جملة — يطلب فاتورة ضريبية
